"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2017","5,905.25","5,917.29","5,924.24","5,900.95","-","-0.18%"
"Oct 24, 2017","5,915.87","5,928.72","5,940.53","5,915.43","-","-0.10%"
"Oct 23, 2017","5,921.55","5,912.33","5,931.92","5,907.84","-","-0.05%"
"Oct 20, 2017","5,924.48","5,941.69","5,944.11","5,915.12","-","-0.41%"
"Oct 19, 2017","5,948.83","5,939.33","5,955.78","5,921.98","-","0.26%"
"Oct 18, 2017","5,933.63","5,928.06","5,943.85","5,921.96","-","0.24%"
"Oct 17, 2017","5,919.48","5,934.63","5,945.02","5,919.35","-","-0.42%"
"Oct 16, 2017","5,944.73","5,935.15","5,953.96","5,930.66","-","0.03%"
"Oct 13, 2017","5,942.85","5,924.77","5,955.84","5,921.49","-","0.42%"
"Oct 12, 2017","5,917.98","5,912.31","5,930.65","5,909.75","-","0.17%"
"Oct 11, 2017","5,907.68","5,893.71","5,916.07","5,888.66","-","0.12%"
"Oct 10, 2017","5,900.80","5,859.53","5,900.80","5,858.31","-","0.71%"
"Oct 09, 2017","5,859.39","5,855.82","5,866.00","5,852.83","-","0.20%"
"Oct 06, 2017","5,847.69","5,846.48","5,854.50","5,826.40","-","-0.06%"
"Oct 05, 2017","5,851.39","5,858.33","5,861.86","5,842.04","-","-0.17%"
"Oct 04, 2017","5,861.42","5,860.59","5,877.92","5,852.69","-","-0.03%"
"Oct 03, 2017","5,863.32","5,845.63","5,865.96","5,829.79","-","0.33%"
"Oct 02, 2017","5,844.08","5,846.76","5,851.04","5,828.11","-","-0.12%"
"Sep 29, 2017","5,851.15","5,824.48","5,853.69","5,811.36","-","0.53%"
"Sep 28, 2017","5,820.38","5,791.80","5,827.95","5,786.32","-","0.51%"
"Sep 27, 2017","5,790.81","5,797.57","5,807.15","5,778.22","-","0.03%"
"Sep 26, 2017","5,789.05","5,830.05","5,833.25","5,783.09","-","-0.72%"
"Sep 25, 2017","5,831.14","5,834.70","5,847.25","5,824.02","-","-0.36%"
"Sep 22, 2017","5,852.41","5,838.29","5,859.25","5,832.90","-","0.42%"
"Sep 21, 2017","5,827.71","5,821.25","5,841.02","5,807.72","-","-0.61%"
"Sep 20, 2017","5,863.57","5,852.36","5,873.06","5,808.87","-","0.17%"
"Sep 19, 2017","5,853.71","5,828.09","5,860.33","5,827.55","-","0.60%"
"Sep 18, 2017","5,818.84","5,804.25","5,829.80","5,803.77","-","0.12%"
"Sep 15, 2017","5,811.86","5,818.59","5,822.18","5,802.28","-","0.27%"
"Sep 14, 2017","5,796.21","5,806.74","5,814.52","5,779.12","-","-0.31%"
"Sep 13, 2017","5,814.11","5,837.12","5,846.78","5,799.71","-","-0.26%"
"Sep 12, 2017","5,829.02","5,811.54","5,837.31","5,809.44","-","0.24%"
"Sep 11, 2017","5,814.78","5,784.65","5,829.97","5,783.91","-","0.61%"
"Sep 08, 2017","5,779.36","5,772.09","5,798.85","5,769.07","-","0.24%"
"Sep 07, 2017","5,765.44","5,718.87","5,774.62","5,712.79","-","0.77%"
"Sep 06, 2017","5,721.33","5,714.15","5,728.27","5,694.45","-","0.08%"
"Sep 05, 2017","5,716.78","5,705.31","5,722.69","5,699.72","-","0.04%"
"Sep 04, 2017","5,714.44","5,731.39","5,733.30","5,703.96","-","-0.30%"
"Sep 01, 2017","5,731.77","5,723.69","5,763.55","5,710.97","-","0.40%"
"Aug 31, 2017","5,709.11","5,670.22","5,719.72","5,666.66","-","0.63%"
"Aug 30, 2017","5,673.25","5,670.42","5,691.17","5,662.45","-","-0.35%"
"Aug 29, 2017","5,693.12","5,706.96","5,722.86","5,658.09","-","-0.27%"
"Aug 28, 2017","5,708.57","5,718.96","5,720.13","5,696.59","-","0.17%"
"Aug 25, 2017","5,699.13","5,673.13","5,714.67","5,665.82","-","0.43%"
"Aug 24, 2017","5,674.60","5,680.63","5,689.11","5,664.93","-","-0.10%"
"Aug 23, 2017","5,680.29","5,682.71","5,684.41","5,670.76","-","0.06%"
"Aug 22, 2017","5,676.98","5,660.57","5,681.47","5,655.33","-","0.16%"
"Aug 21, 2017","5,667.89","5,661.69","5,669.21","5,640.42","-","0.06%"
"Aug 18, 2017","5,664.35","5,676.26","5,682.97","5,646.43","-","-0.49%"
"Aug 17, 2017","5,692.45","5,721.21","5,730.00","5,684.67","-","0.03%"
"Aug 16, 2017","5,690.85","5,672.61","5,721.26","5,668.02","-","0.42%"
"Aug 15, 2017","5,667.33","5,683.27","5,697.42","5,660.23","-","-0.29%"
"Aug 14, 2017","5,683.60","5,660.03","5,689.87","5,651.20","-","0.41%"
"Aug 11, 2017","5,660.53","5,696.08","5,696.41","5,645.45","-","-0.55%"
"Aug 10, 2017","5,691.85","5,727.32","5,729.18","5,680.83","-","-0.44%"
"Aug 09, 2017","5,717.16","5,758.08","5,760.53","5,703.00","-","-0.53%"
"Aug 08, 2017","5,747.47","5,767.95","5,772.94","5,744.66","-","-0.28%"
"Aug 07, 2017","5,763.67","5,761.34","5,774.63","5,756.39","-","0.31%"
"Aug 04, 2017","5,745.65","5,766.66","5,769.20","5,738.96","-","-0.39%"
"Aug 03, 2017","5,768.17","5,750.24","5,774.35","5,732.76","-","0.18%"
"Aug 02, 2017","5,758.04","5,757.42","5,770.91","5,746.00","-","-0.02%"
"Aug 01, 2017","5,759.33","5,719.24","5,771.01","5,719.24","-","0.84%"
"Jul 31, 2017","5,711.26","5,700.24","5,725.87","5,694.52","-","0.27%"
"Jul 28, 2017","5,695.99","5,718.27","5,718.27","5,672.11","-","-0.24%"
"Jul 27, 2017","5,709.85","5,727.56","5,756.12","5,702.29","-","0.38%"
"Jul 26, 2017","5,688.51","5,674.18","5,733.08","5,664.47","-","0.19%"
"Jul 25, 2017","5,677.69","5,655.62","5,703.53","5,654.71","-","0.30%"
"Jul 24, 2017","5,660.66","5,683.75","5,683.75","5,652.01","-","-0.39%"
"Jul 21, 2017","5,683.06","5,704.00","5,718.57","5,672.16","-","-0.52%"
"Jul 20, 2017","5,713.05","5,679.81","5,717.89","5,677.54","-","0.61%"
"Jul 19, 2017","5,678.52","5,651.42","5,682.06","5,651.42","-","0.26%"
"Jul 18, 2017","5,663.55","5,657.76","5,681.23","5,655.05","-","0.04%"
"Jul 17, 2017","5,661.18","5,667.64","5,673.36","5,649.20","-","0.08%"
"Jul 14, 2017","5,656.74","5,622.12","5,666.04","5,620.11","-","0.73%"
"Jul 13, 2017","5,615.84","5,606.34","5,630.48","5,605.23","-","0.21%"
"Jul 12, 2017","5,603.98","5,557.44","5,608.22","5,547.72","-","1.20%"
"Jul 11, 2017","5,537.64","5,549.83","5,564.74","5,537.64","-","-0.11%"
"Jul 10, 2017","5,543.72","5,536.82","5,552.82","5,532.63","-","0.34%"
